"symbol klienta";"Symbol";"Oznaczenie producenta";"Producent";"Ilość";"Jednostka";"Cena brutto";"Wartość brutto";"Waluta"
"";"CL21C101JBANNNC";"CL21C101JBANNNC";"SAMSUNG";"100";"szt";"0.08288";"8.288";"PLN"
"";"DG300-5.0-2P12";"DG300-5.0-02P-12-00A(H)";"DEGSON ELECTRONICS";"10";"szt";"0.7287";"7.287";"PLN"
"";"HP05-1K1%";"HP05W3F1001T5E";"ROYAL OHM";"50";"szt";"0.19454";"9.727";"PLN"
"";"MCP4922-E/SL";"MCP4922-E/SL";"MICROCHIP TECHNOLOGY";"3";"szt";"12.3369";"37.0107";"PLN"
"";"BCP5116TA";"BCP5116TA";"DIODES INCORPORATED";"10";"szt";"0.50355";"5.0355";"PLN"
"";"BC848AE6327";"BC848AE6327";"INFINEON TECHNOLOGIES";"25";"szt";"0.107";"2.675";"PLN"
"";"TL072CD";"TL072CD";"TEXAS INSTRUMENTS";"10";"szt";"2.4729";"24.729";"PLN"
"";"BZD27C3V6P-E3-08";"BZD27C3V6P-E3-08";"VISHAY";"10";"szt";"0.59272";"5.9272";"PLN"
"";"SMD2010-100R-1%";"2010W2F1000T4E";"ROYAL OHM";"10";"szt";"0.46633";"4.6633";"PLN"
"";"IFX91041EJV50";"IFX91041EJV50";"INFINEON TECHNOLOGIES";"3";"szt";"6.027";"18.081";"PLN"
"";"DJNR5040-470-S";"DJNR5040-470-S";"FERROCORE";"6";"szt";"0.9232";"5.5392";"PLN"
"";"1N5333BG";"1N5333BG";"ON SEMICONDUCTOR";"5";"szt";"1.0438";"5.219";"PLN"
"";"11-21SURC/S530-A2";"11-21SURC/S530-A2/TR8";"EVERLIGHT";"10";"szt";"0.58747";"5.8747";"PLN"
"";"15-21UYC/S530-A2";"15-21UYC/S530-A2/TR8";"EVERLIGHT";"10";"szt";"0.6819";"6.819";"PLN"
"";"CL21B224KBFNNNE";"CL21B224KBFNNNE";"SAMSUNG";"100";"szt";"0.08918";"8.918";"PLN"
"";"SMD0805-22K-1%";"0805S8F2202T5E";"ROYAL OHM";"100";"szt";"0.07721";"7.721";"PLN"
"";"IFX91041EJV33";"IFX91041EJV33XUMA1";"INFINEON TECHNOLOGIES";"2";"szt";"5.0307";"10.0614";"PLN"
"";"SC1H106M6L005VR";"SC1H106M6L005VR";"SAMWHA";"25";"szt";"0.30738";"7.6845";"PLN"
"";"SC1C107M6L005VR";"SC1C107M6L005VR";"SAMWHA";"25";"szt";"0.17467";"4.36675";"PLN"
"";"SYS1530-1224-W2E";"SYS1530-1224-W2E";"SUNNY";"1";"szt";"36.9";"36.9";"PLN"
"";"NEB21R";"NEB 21 R";"LUMBERG";"1";"szt";"2.597";"2.597";"PLN"
"";"SMD0805-2K2-1%";"0805S8F2201T5E";"ROYAL OHM";"100";"szt";"0.07721";"7.721";"PLN"
"";"T910W-2K";"T910W-2K";"SR PASSIVES";"10";"szt";"1.4932";"14.932";"PLN"
"";"CL21B104KBCNNNC";"CL21B104KBCNNNC";"SAMSUNG";"100";"szt";"0.08392";"8.392";"PLN"
"";"AL1A-DIO";"AL1A";"DIOTEC SEMICONDUCTOR";"5";"szt";"0.61895";"3.09475";"PLN"
"";"BZX384-B4V7.115";"BZX384-B4V7.115";"NEXPERIA";"20";"szt";"0.1542";"3.084";"PLN"
"";"MOF1WS-100K";"MOF1WS-100K";"SR PASSIVES";"20";"szt";"0.17899";"3.5798";"PLN"
"";"RC0805JR-0710K";"RC0805JR-0710KL";"YAGEO";"100";"szt";"0.0577";"5.77";"PLN"
"";"SMD0805-3K";"0805S8J0302T5E";"ROYAL OHM";"100";"szt";"0.0683";"6.83";"PLN"
"";"SMD0805-1K";"0805S8J0102T5E";"ROYAL OHM";"100";"szt";"0.06735";"6.735";"PLN"
"";"CRCW080510K0FKTABC";"CRCW080510K0FKTABC";"VISHAY";"100";"szt";"0.06871";"6.871";"PLN"
"";"SMD1206-100K";"1206S4J0104T5E";"ROYAL OHM";"100";"szt";"0.06547";"6.547";"PLN"
"";"1SMB5913BT3G";"1SMB5913BT3G";"ON SEMICONDUCTOR";"5";"szt";"0.5702";"2.851";"PLN"
"";"SS16A-YAN";"SS16A";"YANGJIE TECHNOLOGY";"20";"szt";"0.14366";"2.8732";"PLN"
"";"SMD0805-9K1-1%";"0805S8F9101T5E";"ROYAL OHM";"100";"szt";"0.0424";"4.24";"PLN"
"";"CL21B223KBANNNC";"CL21B223KBANNNC";"SAMSUNG";"100";"szt";"0.08341";"8.341";"PLN"
